,unlist.var_labels.
cfatrisk_18y,child-total body fat risk at 18y
cbmi_18ygr.Underweight -16,1
cbmi_18ygr.Moderate underweight 16-17,2
cbmi_18ygr.Mild underweight 17-18.5,3
cbmi_18ygr.Normal 18.5-25,4
cbmi_18ygr.Preobese 25-30,5
cbmi_18ygr.Obese-Class1 30-35,6
cbmi_18ygr.Ob-Class2  35-40,7
cbmi_18ygr.Ob-class3 >=40,8
cwhrrisk_18y,child-waist circ risk at 18y
cblood_18y,child Blood Collected at 18y
ccol_code_18y,child Blood collected by at 18y
cst_detail_18y,child No stool details at 18y
cstool_18y,child Stool Collected at 18y
curine_18y,child Urine Collected at 18y
canem_18y,child-anemia at 18y
fdispindex6,Fathers disposition index at 6y
mdispindex6,Mothers disposition index at 6y
fdispindex_i,Fathers disposition index at pmns2
mdispindex_i,Mothers disposition index at pmns2
cinindex6,child-insulinogenic index at 6y
dose,glucose load/kg body weight administere at 18y
year_18y,Year of 18y fup
month_18y,Month of 18y fup
cabareamri_18y,total abdominal area (mm2) in children at 18y by MRI
cscutfareamri_18y,total subcutaneous fat area  (mm2)in children at 18y by MRI
cvisfareamri_18y,total visceral fat  area (mm2) in children at 18y by MRI
inclexcl.included in PIS,1
inclexcl.B12 < 100,2
inclexcl.Other medical illness,3
inclexcl.Anemic,4
asc_18y,child beverage consumption score-ffq 18y
lsc_18y,child milk products consumption score-ffq 18y
bsc_18y,child roti consumption score-ffq 18y
cersc_18y,child cereal consumption score-ffq 18y
csc_18y,child rice consumption score-ffq 18y
dsc_18y,child dal consumption score-ffq 18y
esc_18y,child pulses consumption score-ffq 18y
fsc_18y,child vegetable consumption score-ffq 18y
gsc_18y,child glv consumption score-ffq 18y
jsc_18y,child fruit consumption score-ffq 18y
nutssc_18y,child nuts consumption score-ffq 18y
chutpicksc_18y,child chutney-pickles consumption score-ffq 18y
ksc_18y,child non veg consumption score-ffq 18y
fermfoodsc_18y,child fermented food  consumption score-ffq 18y
supplsc_18y,child supplement consumption score-ffq 18y
safasc_18y,child saturated fat consumption score-ffq 18y
msc_18y,child bakery product consumption score-ffq 18y
nsc_18y,child fried/salty snacks consumption score-ffq 18y
sweetsnacks_18y,child sweet snacks consumption score-ffq 18y
readytoeat_18y,child ready to eat food consumption score-ffq 18y
fibrerich_18y,child fibre rich food consumption score-ffq 18y
cmp,(mean) compliance (%)
cwt_scr,child weight at screening (Kg)
cht_scr,child height at screening (cm)
csyst_scr,child syst BP at screening (mmHg)
cdiast_scr,child siast BP at screening (mmHg)
cpulse_scr,child pulse at screening (/min)
cbmi_scr,child BMI at screening (kg/m2)
Allerg1_A1,Allergies
cns1_A1,Epilepsy
cns2_A1,Developmental delay
cvs1_A1,Hypertension
cvs2_A1,Congenital heart disease
cvs3_A1,Rheumatic heart disease
dethistchrill_scr_A1,If Yes details of chronic illness
drugs_A1,Receiving any drugs?
endo1_A1,Diabetes
endo2_A1,Thyroid
endo3_A1,Adrenal
genex1_A1,pallor
genex2_A1,jaundice
genex3_A1,hyperpigmenttaion
genex4_A1,Edema
genex5_A1,Clubbing
genex6_A1,Other
genex7_A1,Normal
git1_A1,Upper GI
git2_A1,Lower GI
git3_A1,Chronic diarreah
git4_A1,Hepatobilary
gur1_A1,Chronic UTI
gur2_A1,Renal stone
gur3_A1,Other
histchrill_scr_A1,history of chronic illness?
mus1_A1,Musculoskeletal
othgenexdet_A1,Other details
rs1_A1,ENT/Upper respiratory
rs2_A1,Asthma
rs3_A1,Tuberculosis
rs4_A1,Other
skin1_A1,Nurocutaneous stigmata
skin2_A1,Chronic dermatitis
systex_A1,systemic examination
systexdet_A1,Abnormality in systenic exam
vitamin_A1,Receiving any vitamins/minerals?
drdose1,drug dose
drdose2,drug dose
drdose3,drug dose
drfr1,drug freq (times/day)
drfr2,drug freq (times/day)
drfr3,drug freq (times/day)
drname1,drug name
drname2,drug name
drname3,drug name
drstart1,drug started
drstart2,drug started
drstart3,drug started
drugs,Receiving any drugs?
vitamin,Receiving any vitamins/minerals?
vitdose1,vitamin dose
vitdose2,vitamin dose
vitfr1,vitamin freq (times/day)
vitfr2,vitamin freq (times/day)
vitname1,vitamin name
vitname2,vitamin name
vitstart1,vitamins started
vitstart2,vitamins started
methggr.Isotopic,1
methggr.Nonisotopic,2
meth_cgr_pre,Granulocyte %
meth_cgrno_pre,Granulocyte count
meth_chb_pre,Hemoglobin
meth_chct_pre,Hematocrit
meth_cly_pre,Lymphocyte %
meth_clyno_pre,Lymphocyte  count
meth_cmch_pre,Mean corpuscular hematocrit
meth_cmchc_pre,Mean corpuscular hematocrit concentration
meth_cmcv_pre,Mean corpuscular volume
meth_cmo_pre,Monocyte %
meth_cmono_pre,Monocyte count
meth_cmpv_pre,Mean platelet volume
meth_cpct_pre,Plateletcrit count
meth_cpdw_scr_pre,Platelet distribution width
meth_cplt_pre,Platelet count
meth_crbc_pre,Red blood cells
meth_crdw_pre,Red cell distribution width
meth_cwbc_pre,White blood cells
meth_cwt_pre,child weight at screening (Kg)
meth_cht_pre,child height at screening (cm)
meth_csyst_pre,child syst BP  (mmHg)
meth_cdiast_pre,child siast BP (mmHg)
meth_cpulse_pre,child pulse  (/min)
meth_cbmi_pre,child BMI (kg/m2)
meth_cb12_pre,childs b12 at meth load test pre  -pmol/L
meth_cb2_pre,childs b2 at meth load test pre  -microgm/L
meth_cfolate_pre,childs folate at meth load test pre -nmol/L
adjhc1,fetal head circ adj for 18 wks
adjhc2,fetal head circ adj for 28 wks
adjhc3,fetal head circ adj for 34 wks
adjac1,fetal abdominal circ adj for 18 wks
adjac2,fetal abdominal circ adj for 28 wks
adjac3,fetal abdominal circ adj for 34 wks
adjfl1,fetal femur length adj for 18 wks
adjfl2,fetal femur length adj for 28 wks
adjfl3,fetal femur length adj for 34 wks
adjbpd1,Biparietal diam  adj for 18 wks
adjbpd2,Biparietal diam  adj for 28 wks
adjbpd3,Biparietal diam  adj for 34 wks
SampleID,Sample ID
A204GM.HOMO,1
A204GM.HETERO,2
A204GM.RARE,3
C249TM.HOMO,1
C249TM.HETERO,2
C249TM.RARE,3
C335TM.HOMO,1
C335TM.HETERO,2
C335TM.RARE,3
C390TM.HOMO,1
C390TM.HETERO,2
C390TM.RARE,3
G461AM.HOMO,1
G461AM.HETERO,2
G461AM.RARE,3
C513TM.HOMO,1
C513TM.HETERO,2
C513TM.RARE,3
G772AM.HOMO,1
G772AM.HETERO,2
G772AM.RARE,3
FUT1,A204G_M:rs492602
FUT2,C249T_M
FUT3,C335T_M
FUT4,C390T_M
FUT5,G461A_M:rs601338
FUT6,C513T_M
FUT7,G772A_M:rs602662
Test_Date,Test Date
Test_Time,Test Time
grs1cquar,Percentile Group of wt_7snp_grs
gfddaysqn,Percentile Group of gfddays
tg2qn,Percentile Group of tg2
ssa_18y,SSA
upt_18y,urinr pregnancy test
abnf_18y,fasting >=100 mg% at 18y
abn2h_18y,2hr >=140 and <200 at 18y
cglyc_18y,glycemia in pmns children at 18y
cgttcd_18y.child gtt complete at  18y,1
cgttcd_18y.child gtt not complete at 18y,2
cb12iquar,Percentile Group of cb12_i
fb12iquar,Percentile Group of fb12_i
mb12iquar,Percentile Group of mb12_i
cb12scrquar,Percentile Group of cb12_scr
sesquar,Percentile Group of slisc_i
cbmiquar,Percentile Group of cbmi_scr
cwbcquar,Percentile Group of cwbc_scr
ccrp_18y,child crp (ng/mL)at 18y
sliflag18,SLI AT 18Y BY NFHS
pmns18y,pmns 18y fup
pmns18yf,pmns 18y fup-father
pmns18ym,pmns 18y fup-mother
cgpcab_scr,Gastric parietal cell antibody (U/mL)
cintrfact_scr,Intrinsic factor (U/mL)
cadagly_18,Glycemic status of PMNS youung adults at 18 Y followup by ADA criteria
chypgly_18,Hyperglycemia status of PMNS young adults at 18 y followup by ADA
cngtifgigt_18,Classification of young adults at 18 by Normoglycemia-IFG-IGT
cht18yq,Percentile Group of cht_18y
gender.males,1
gender.females,2
Znchomar_18y,Zscore(nchomar_18y)
Znchomabeta_18y,Zscore(nchomabeta_18y)
Zncdispindex_18y,Zscore(ncdispindex_18y)
Zncmatsuindex_18y,Zscore(ncmatsuindex_18y)
qr_choma18,Percentile Group of Znchomar_18y
qr_chomabeta18,Percentile Group of Znchomabeta_18y
qr_cmatsuindex18,Percentile Group of Zncmatsuindex_18y
qr_cdispindex18,Percentile Group of Zncdispindex_18y
riskchoma18.At risk Q4,1
riskchoma18.Non risk Q123,2
Zcgluf_18y,Zscore:  Child Fasting Glucose (mg%) at 18yr
Zcglu2hr_18y,Zscore:  Child 2 hr Glucose (mg%) at 18 yr
Zcinsf_18y,Zscore:  Child Fasting Insulin at 18yr (mu/l)
Zchomar_18y,Zscore:  child homa resistence at 18y using oxford model
znchoma18y,Zscore(nchomar_18y)
Zchomabeta_18y,Zscore:  child homa beta(%) at 18y using oxford model
znchomabeta18y,Zscore(nchomabeta_18y)
Zcinindexwh_18y,Zscore:  child-insulinogenic index at 18y using wareham formule
Zncinindexwh_18y,Zscore(ncinindexwh_18y)
Zcdispindex_18y,Zscore:  Child disposition index at 18y
zcdispindex18y,Zscore(ncdispindex_18y)
Zcht_18y,Zscore:  child height at 18y (cm)
Zcwt_18y,Zscore:  child weight at 18y (kg)
Zcbmi_18y,Zscore:  child BMI at 18y(kg/m2)
Zcma_18y,Zscore:  child muac at 18y (mm)
Zcss_18y,Zscore:  child subscapular skinfold at 18y (mm)
Zctr_18y,Zscore:  child tricep skinfold at 18y (mm)
Zcfatp_18y,Zscore:  pmns child-body fat % at 18y
Zcwaist_18y,Zscore:  child waist circ at 18y (cm)
Zchip_18y,Zscore:  child hip circ at 18y (cm)
z_bw,Zscore(bw)  Birth weight (gm)
Zlength,Zscore:  Length of the newborn (cm)
Zhcn,Zscore:  Head circumference of the newborn (cm)
Zchn,Zscore:  Chest circumference of the newborn (cm)
Zabdn,Zscore:  Abdominal circumference of the newborn (cm)
Zssn,Zscore:  Subscapular skinfold of the newborn (mm)
Ztrn,Zscore:  Triceps skinfold of the newborn (mm)
Zcchol_18y,Zscore:  child Cholesterol (mg%) at 18 yr
Zctg_18y,Zscore:  child Triglycerides (mg%) at 18 yr
Zchdl_18y,Zscore:  child  HDL(mg%) at 18 yr
Zcsyst_18y,Zscore:  childs systolic bp at 18y (mmhg)
Zcdiast_18y,Zscore:  childs diastolic bp at 18y (mmhg)
Zman,Zscore:  Midarm circumference of the newborn (cm)
mlt_post_date,post mlt date
cngtifg_18.normoglycemic,1
cngtifg_18.IFG,2
cngtigt_18.normoglycemic,1
cngtigt_18.IGT,2
FAC1_2,REGR factor score   1 for analysis 2
FAC2_2,REGR factor score   2 for analysis 2
FAC3_2,REGR factor score   3 for analysis 2
FAC4_2,REGR factor score   4 for analysis 2
tb12v2_q,Percentile Group of tb12v2
tb12v2_dec,Percentile Group of tb12v2
tb12v2_qar,Percentile Group of tb12v2
cmigr_18y,Any migration
Zsstrn_sf,Zscore(sstrn_sf)
Zcsstrsf_i,Zscore(csstrsf_i)
Zcpm_rs,Zscore:  cpm test-correct response at pmns2
Zpc_rs,Zscore:  pictute completion - correct respopnses at pmns2
Zdf_sp,Zscore:  digit span-forward span at  pmns2
Zdb_sp,Zscore:  digit span-backward span at  pmns2
Ztm1_tm,Zscore:  trail making-1 total time in seconds at pmns2
Ztm2_tm,Zscore:  trail making-2 total time in seconds at pmns2
Zav_tlsc,Zscore:  avlt-total learning score at pmns2
Zav_drsc,Zscore:  avlt-delayed recall score at pmns2
Zbd_sc,Zscore:  block design-total score at pmns2
c_sec_st_24y_E17_C306,Child's Secretor Status (24 year follow up)
f_sec_st_24y_E18_C344,Father's Secretor Status (24 year follow up)
f_sec_st_comm_24y_E18_C344,Comment on Secretor Status of Father  (24 year follow up)
m_sec_st_24y_E19_C374,Mothers Secretor Status (24 year follow up)
m_sec_st_comm_24y_E19_C374,Comment on Secretor Status of Mother  (24 year follow up)
ses_category_24,socio economic score by sli at 24y
covid_category,f1 child covid followup category at 24y
ses_category_6year,f1 child socio economics status category at 6y
ses_category_12year,f1 child socio economics status category at 12y
ses_category_18year,f1 child socio economics status category at 18y
transition_category,socio economics status category
final_trsns_cate,socio economics status final category
tertile_18,socio economics status tertile
cB12_6y,f1 child c B12 by using Sergey Fedeso model at 6y
cB12_cate_6y,f1 child c B12 categories 6y
cB12_12y,f1 child c B12 by using Sergey Fedeso model at 12y
cB12_cate_12y,f1 child c B12 categories 12y
cB12_17y,f1 child c B12 by using Sergey Fedeso model at 17y
cB12_cate_17y,f1 child c B12 categories 17y
cB12_18y_sf,f1 child c B12 by using Sergey Fedeso model at 18y
cB12_cate_18y,f1 child c B12 categories 18y
cB12_28wks,f1 child c B12 by using Sergey Fedeso model at 28wks
cB12_cate_28wks,f1 child c B12 categories 28wks
cB12_delivary,f1 child c B12 by using Sergey Fedeso model at delivary
cB12_cate_delivary,f1 child c B12 categories delivary
f1_c_wt_zscore_WHO_6,f1 child weight Z score using by WHO at 6y
f1_c_ht_zscore_WHO_6,f1 child height Z score using by WHO at 6y
f1_c_bmi_zscore_WHO_6,f1 child bmi Z score using by WHO at 6y
f1_c_wt_zscore_WHO_12,f1 child weight Z score using by WHO at 12y
f1_c_ht_zscore_WHO_12,f1 child height Z score using by WHO at 12y
f1_c_bmi_zscore_WHO_12,f1 child bmi Z score using by WHO at 12y
LengthCentile,f1 child length centiles using intergrowth model
WeightCentile,f1 child weight centiles using intergrowth model
HeadCircumferenceCentile,f1 child head circumference centiles using intergrowth model
Age_f2,f2 child age
Sex_f2,f2 child sex
Length_f2,f2 child length
LengthCentile_f2,f2 child length centiles by using intergrowth model
Weight_f2,f2 child weight
WeightCentile_f2,f2 child weight centiles by using intergrowth model
HeadCircumference_f2,f2 child head circunference
HeadCircumferenceCentile_f2,f2 child head circunference centiles by using intergrowth model
